Absolute path,Relative path,Type
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0001.jpg,lab_1\dataset\bay_horse\0001.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0002.jpg,lab_1\dataset\bay_horse\0002.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0003.jpg,lab_1\dataset\bay_horse\0003.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0004.jpg,lab_1\dataset\bay_horse\0004.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0005.jpg,lab_1\dataset\bay_horse\0005.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0006.jpg,lab_1\dataset\bay_horse\0006.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0007.jpg,lab_1\dataset\bay_horse\0007.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0008.jpg,lab_1\dataset\bay_horse\0008.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0009.jpg,lab_1\dataset\bay_horse\0009.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0010.jpg,lab_1\dataset\bay_horse\0010.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0011.jpg,lab_1\dataset\bay_horse\0011.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0012.jpg,lab_1\dataset\bay_horse\0012.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0013.jpg,lab_1\dataset\bay_horse\0013.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0014.jpg,lab_1\dataset\bay_horse\0014.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0015.jpg,lab_1\dataset\bay_horse\0015.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0016.jpg,lab_1\dataset\bay_horse\0016.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0017.jpg,lab_1\dataset\bay_horse\0017.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0018.jpg,lab_1\dataset\bay_horse\0018.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0019.jpg,lab_1\dataset\bay_horse\0019.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0020.jpg,lab_1\dataset\bay_horse\0020.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0021.jpg,lab_1\dataset\bay_horse\0021.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0022.jpg,lab_1\dataset\bay_horse\0022.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0023.jpg,lab_1\dataset\bay_horse\0023.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0024.jpg,lab_1\dataset\bay_horse\0024.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0025.jpg,lab_1\dataset\bay_horse\0025.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0026.jpg,lab_1\dataset\bay_horse\0026.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0027.jpg,lab_1\dataset\bay_horse\0027.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0028.jpg,lab_1\dataset\bay_horse\0028.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0029.jpg,lab_1\dataset\bay_horse\0029.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0030.jpg,lab_1\dataset\bay_horse\0030.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0031.jpg,lab_1\dataset\bay_horse\0031.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0032.jpg,lab_1\dataset\bay_horse\0032.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0033.jpg,lab_1\dataset\bay_horse\0033.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0034.jpg,lab_1\dataset\bay_horse\0034.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0035.jpg,lab_1\dataset\bay_horse\0035.jpg,bay_horse
C:/Users/Alex/Desktop/application_programming/lab_1/dataset/bay_horse/0036.jpg,lab_1\dataset\bay_horse\0036.jpg,bay_horse
